num_visits,location,total_minutes_on_demo,user_age,demo_source,data_rows_input,operating_system,users_in_network,outreach_emails_sent,support_tickets_filed,converted
8,Denver,195.998686067,51,website,7977,OSX,32,6,0,True
8,Austin,202.156692542,51,conference,7812,OSX,18,5,0,True
7,Las Vegas,140.728947995,45,website,12467,Windows,22,6,1,False
6,Austin,207.210370414,51,email,4656,OSX,14,6,0,False
8,Chicago,152.007811384,47,website,11422,OSX,20,7,4,True
6,Freehold,163.021648124,46,website,12730,Other,28,8,3,False
9,Austin,207.870229531,46,conference,11629,OSX,26,6,0,True
6,Boston,158.611384541,48,email,10527,Windows,11,6,0,False
7,Denver,167.366490467,51,website,11451,OSX,16,6,4,True
9,Los Angeles,215.170406593,49,conference,10551,OSX,26,7,1,True
9,Atlanta,67.4234646884,46,website,9259,Windows,14,6,0,False
8,Los Angeles,175.326751756,41,website,10681,OSX,24,6,0,True
7,Boston,147.478156982,40,conference,9273,Windows,14,5,0,False
5,San Jose,179.901360585,58,referral,13192,OSX,16,6,1,True
6,Las Vegas,182.897321971,35,website,13320,Windows,28,6,1,False
10,Chicago,108.518920732,41,website,10432,Windows,27,5,4,True
9,San Jose,140.592367635,46,website,5972,Windows,21,6,2,True
7,New York,155.30369143,31,email,11710,Windows,24,6,0,False
9,Memphis,127.082666587,45,referral,10277,Other,23,8,1,False
8,Phoenix,148.553979008,46,email,10346,Windows,15,6,0,False
9,Seattle,161.320995437,34,website,10438,OSX,26,6,0,True
5,Denver,163.675657029,44,conference,8465,OSX,21,6,0,False
5,Memphis,195.417513404,39,website,14588,Windows,29,8,2,False
8,Chicago,211.399903252,41,website,10399,Windows,25,6,1,True
7,Denver,139.351951326,35,email,9285,Windows,29,7,0,False
5,Tulsa,150.79331317,46,email,8973,Other,17,6,0,False
7,Albany,166.865217339,52,email,14226,OSX,26,4,3,False
6,Boston,194.242085649,46,email,7650,Other,16,7,0,False
4,Kansas City,170.311576176,47,conference,7662,OSX,20,5,0,False
9,Memphis,103.472197806,50,email,13793,Windows,22,5,1,False
6,New York,112.078366258,42,email,9000,Windows,20,6,0,False
7,San Diego,68.9078899446,44,website,9163,Windows,19,5,1,False
8,San Jose,24.4571021779,49,email,11812,Windows,14,7,0,False
7,Las Vegas,75.9996856144,44,email,11843,Windows,18,5,0,False
7,Las Vegas,153.887650179,49,email,13804,OSX,24,4,1,False
6,Las Vegas,168.266173503,38,email,12407,Windows,27,6,1,False
10,Chicago,89.6627734859,43,referral,7631,Windows,20,5,0,False
8,Chicago,142.539102222,31,website,11001,OSX,35,6,2,False
6,Albany,170.656123172,48,website,6264,Windows,22,7,1,False
6,Boston,137.611277739,41,conference,12181,Windows,16,7,0,False
9,Atlanta,142.362660739,45,email,14411,Other,21,8,2,True
5,Boston,175.114962923,42,email,14143,Windows,24,5,1,False
7,Columbus,159.014214446,54,referral,10761,Other,17,5,2,True
6,Memphis,167.117994665,48,conference,11214,Other,20,8,0,False
7,Seattle,124.771123439,48,website,4773,Windows,8,5,1,False
8,San Jose,149.280258483,37,referral,11313,OSX,27,6,2,False
7,Tulsa,168.610147099,49,conference,12688,OSX,18,7,0,False
7,Chicago,163.634577625,44,website,7860,Windows,14,7,0,False
8,San Diego,127.435900639,43,website,7041,Windows,17,6,0,False
7,New York,153.878027371,50,email,11440,Other,17,6,0,False
4,Phoenix,197.957517847,49,website,2334,OSX,12,6,3,True
7,New York,182.893339153,50,conference,5989,OSX,11,6,0,True
6,New York,168.17323638,52,website,11506,OSX,13,6,2,True
9,San Jose,147.327407031,47,referral,11403,OSX,28,7,3,False
9,Los Angeles,130.660053882,56,email,10250,Other,18,6,0,False
7,Kansas City,111.654209376,42,conference,10623,Windows,23,7,0,False
10,Las Vegas,120.08820165,46,referral,9299,OSX,23,6,0,False
7,Boston,147.68918204,38,email,11200,Windows,22,6,0,True
7,Memphis,155.003126618,45,referral,4529,Other,29,7,2,True
5,Freehold,172.612151671,49,conference,5070,OSX,8,6,1,False
7,Freehold,57.4950910346,47,conference,8889,Other,12,5,1,False
9,Las Vegas,139.442331683,38,email,10166,Windows,20,5,0,False
7,Las Vegas,194.964964837,49,website,9686,OSX,23,7,0,True
8,Kansas City,157.468688931,36,referral,12763,OSX,29,6,0,True
9,Tulsa,158.583773304,48,email,13039,OSX,24,7,1,False
6,New York,184.281316691,47,conference,14619,Windows,14,7,0,False
6,San Diego,177.778962796,46,website,8344,OSX,17,5,2,True
6,San Jose,181.29306097,38,conference,7301,OSX,21,6,0,False
7,San Diego,162.177085175,45,referral,12221,Other,17,5,0,False
8,Boston,161.626231678,47,conference,12813,Windows,14,8,0,False
7,Kansas City,43.5402268792,54,conference,9976,Windows,11,6,2,False
6,Seattle,170.607738538,41,conference,8995,Windows,23,6,0,False
7,San Jose,141.361918145,39,website,11289,Windows,24,6,1,False
9,Tulsa,173.102833441,46,conference,14748,OSX,27,8,0,True
5,Los Angeles,168.360969277,49,referral,5287,Windows,38,6,3,True
6,Boston,150.573740812,41,referral,10997,OSX,16,7,1,True
10,Chicago,193.907168726,45,conference,10543,OSX,33,5,0,True
7,New York,82.8666129477,52,conference,8204,Windows,10,5,2,False
9,Las Vegas,136.614783766,44,referral,9963,OSX,33,6,4,False
11,Kansas City,151.942157557,43,conference,9261,Windows,24,7,1,True
8,San Diego,114.357080793,24,referral,8369,Windows,35,6,2,False
5,Atlanta,162.048925185,46,email,12473,Windows,11,6,0,False
9,Phoenix,188.608605019,41,email,12255,OSX,21,7,1,True
9,Austin,128.470665673,44,website,10582,OSX,31,5,2,False
12,Memphis,116.733090706,32,referral,8719,OSX,39,6,4,False
5,Seattle,184.537321578,48,website,2665,Windows,10,6,3,False
7,Atlanta,105.175704803,47,referral,7997,Windows,23,7,1,False
7,Albany,126.746611667,45,email,7150,Windows,17,6,0,False
6,Kansas City,134.640815988,50,email,9354,Windows,15,5,0,False
7,Las Vegas,160.996387903,47,referral,11030,Windows,35,6,1,True
5,New York,150.960660757,37,conference,11063,Windows,18,6,0,False
8,Las Vegas,134.956170608,37,referral,10186,Windows,15,7,0,False
8,Denver,187.865732619,44,referral,10649,OSX,22,6,0,True
7,Freehold,166.612786483,56,website,15357,Windows,13,6,2,True
11,Albany,88.4813792699,52,referral,7356,Windows,20,6,0,False
7,Phoenix,145.423252686,41,website,9392,Windows,18,7,0,False
9,Austin,130.952220124,42,website,11113,Windows,27,6,1,False
7,Atlanta,143.833471514,34,email,10630,Windows,24,6,0,False
7,Las Vegas,80.9903599971,40,conference,10716,Windows,20,6,0,False
7,Chicago,131.685353462,48,website,11493,Windows,14,6,0,False
6,Columbus,176.750328457,45,conference,13849,Other,23,7,0,False
10,Seattle,208.044849406,48,conference,6630,OSX,26,6,0,True
7,Chicago,92.0636437306,42,conference,10981,Windows,17,6,0,False
7,Chicago,159.608048476,49,email,8748,Windows,19,4,0,False
6,Kansas City,146.557339992,55,email,6164,Other,12,6,2,False
5,Phoenix,164.779766385,52,conference,6153,OSX,7,8,1,False
8,Kansas City,125.1145839,45,referral,9659,OSX,29,7,2,False
8,Phoenix,186.106580094,52,referral,9965,Other,20,6,3,False
5,Chicago,146.395407285,53,website,7843,Windows,20,5,1,False
11,Freehold,90.0716738455,33,referral,6587,Other,38,5,4,False
7,Atlanta,140.699220183,43,website,10625,Windows,18,5,0,False
8,Austin,159.306767686,41,email,11719,OSX,25,5,0,True
5,Austin,152.485540807,49,website,7032,Windows,18,7,3,False
8,Phoenix,121.037302804,53,referral,11269,Windows,36,6,3,True
4,Atlanta,171.118473144,55,conference,6672,OSX,14,8,2,False
7,Albany,154.425359521,39,website,9888,OSX,33,7,2,False
9,Los Angeles,143.319963231,43,referral,10481,OSX,27,7,3,False
6,Las Vegas,115.872956971,44,email,8304,Windows,13,6,1,False
6,Phoenix,172.648745326,48,conference,15347,Windows,17,7,0,False
10,San Jose,122.21761699,46,referral,9605,OSX,21,7,0,False
7,Phoenix,186.822004148,51,email,4154,Windows,9,6,0,False
6,New York,162.503056306,51,referral,12186,Windows,23,5,3,True
6,Seattle,156.255415535,50,referral,11868,Other,18,5,3,True
6,Columbus,139.398417042,43,conference,6557,Windows,22,6,1,False
5,Boston,111.587564095,47,email,7339,Windows,15,6,3,False
9,Seattle,133.821793027,37,referral,10412,Windows,23,8,0,False
11,New York,113.720059155,38,website,8581,Windows,27,6,1,False
7,Chicago,164.494689421,48,email,12229,Windows,18,4,0,False
7,Columbus,141.671488518,47,email,11660,Windows,21,5,0,True
6,Freehold,168.393188827,33,website,11855,Other,28,7,1,False
12,Columbus,124.204435982,39,conference,11733,OSX,15,6,4,True
10,Los Angeles,262.147835022,43,referral,6885,OSX,18,7,0,True
7,Denver,148.600300257,33,referral,14653,Other,32,7,1,True
6,Las Vegas,165.548066557,40,conference,9102,Windows,25,6,0,False
7,Las Vegas,179.002472792,47,email,13307,Windows,15,6,0,True
7,Las Vegas,176.488540652,32,referral,10516,OSX,29,7,1,False
11,Chicago,213.815232215,44,conference,7316,OSX,29,6,0,True
7,Seattle,142.941775397,44,conference,7031,Windows,19,6,0,False
6,Memphis,159.905872264,42,email,12698,Windows,18,6,0,False
8,Albany,143.148968186,43,website,10601,Other,22,5,0,False
4,Las Vegas,168.288894085,47,website,4250,Windows,22,7,3,False
7,Memphis,105.389461482,48,conference,11080,Windows,20,6,0,False
8,Kansas City,150.412021852,46,website,10997,OSX,27,7,2,True
6,Chicago,208.70545833,47,conference,3688,OSX,14,6,1,False
8,Austin,164.824656928,52,referral,9849,Other,16,7,3,True
8,Boston,168.408609322,48,referral,8771,Other,29,6,0,True
4,Phoenix,146.640375183,43,conference,7431,Other,21,4,1,False
10,New York,135.958308795,36,referral,9739,Other,31,6,2,False
6,San Jose,122.286087842,44,conference,7704,Windows,20,6,1,False
9,San Jose,131.099393548,47,referral,10402,Other,20,6,1,False
8,Chicago,153.257888663,45,website,7885,Windows,27,7,3,True
8,Memphis,137.104651301,45,email,7860,Windows,29,6,0,True
3,Las Vegas,209.520338513,39,referral,12873,OSX,26,6,1,False
6,Los Angeles,173.159842236,49,website,11395,OSX,19,6,1,True
9,Tulsa,124.167966998,41,referral,8375,Windows,26,6,1,False
9,Freehold,126.908337934,40,referral,10060,Windows,17,7,0,False
6,Albany,111.567075992,51,conference,10214,OSX,14,6,0,False
6,Los Angeles,162.004850875,51,referral,11670,Other,24,5,2,True
4,Seattle,214.010158054,48,conference,6351,OSX,16,6,1,False
10,Atlanta,132.101391198,43,email,12129,Other,22,7,1,False
9,Memphis,171.197197887,44,conference,10442,OSX,21,7,0,True
11,San Diego,130.327025617,44,website,11101,OSX,28,8,3,False
5,Seattle,150.123115301,49,referral,11415,Windows,33,7,2,True
8,Kansas City,200.93135166,47,website,7508,OSX,21,5,0,True
5,Denver,174.401691452,34,email,12282,Windows,33,7,1,False
7,Phoenix,135.052500322,40,website,11054,Windows,21,5,0,False
5,Columbus,160.38249227,29,referral,7843,Windows,23,5,0,False
5,Phoenix,243.104615771,50,conference,5966,OSX,15,6,0,False
9,Boston,145.390920789,43,email,11511,Other,26,5,2,False
7,Phoenix,184.353334221,47,website,8495,Windows,15,7,0,False
7,Denver,125.323063307,39,email,13370,OSX,26,6,0,True
6,Albany,117.811833516,53,referral,11537,Windows,22,6,4,True
8,Seattle,186.115956081,41,conference,10729,Windows,15,7,1,True
7,Columbus,103.415606055,45,email,9090,Windows,17,5,0,False
9,Las Vegas,128.293687654,43,website,8574,Windows,17,6,0,False
6,Austin,151.93191358,46,website,11341,Windows,16,6,0,False
5,San Diego,145.31118811,52,email,9511,OSX,16,7,0,False
10,Kansas City,76.3283955453,33,referral,4529,OSX,31,7,1,False
7,Kansas City,108.620085777,48,conference,6718,Windows,17,6,2,False
4,Denver,163.555736699,48,conference,9771,Other,25,7,0,False
8,Memphis,107.256739562,49,referral,8542,OSX,22,7,0,False
10,Phoenix,146.970714646,42,website,11209,OSX,33,6,4,False
9,Chicago,220.492427949,44,website,9192,OSX,25,6,0,True
8,Memphis,110.320833355,43,website,8559,Windows,17,4,0,False
6,Boston,139.125955844,50,website,10251,Other,15,6,3,True
5,Boston,166.976099768,47,email,6590,Windows,22,6,0,False
10,Chicago,100.170746057,42,email,10012,Other,18,5,4,True
7,Memphis,127.973008215,50,email,7793,Windows,16,6,0,False
10,San Diego,114.451166857,43,website,10223,Other,22,6,0,False
5,Tulsa,157.910980459,44,conference,8197,OSX,16,7,0,False
5,Las Vegas,158.895138379,43,email,11849,Windows,18,5,0,False
9,New York,200.836158701,37,referral,12450,Other,20,6,2,True
8,Tulsa,137.073877339,49,email,9880,Windows,8,6,0,False
7,San Jose,161.480401312,51,conference,7745,Other,11,6,0,False
7,New York,156.086150541,36,referral,10969,Other,16,8,1,True
7,Chicago,60.7481830488,46,email,10760,Windows,23,8,0,False
11,New York,82.0494474655,43,conference,13964,Windows,19,7,3,True
9,Columbus,145.623643123,34,email,10904,Windows,30,7,0,False
6,Albany,149.832948291,42,conference,6282,Other,17,6,1,False
7,New York,115.666536351,41,website,8477,Windows,17,6,0,False
7,Freehold,155.456110487,34,referral,10509,Windows,29,6,1,False
6,San Diego,114.065450356,49,website,8247,Windows,12,5,1,False
8,Denver,58.224372464,46,email,6676,Windows,17,6,3,False
8,Seattle,120.032303919,48,email,10233,Windows,12,5,0,False
7,New York,140.146072586,51,website,7997,Windows,14,7,0,False
7,San Diego,125.157816853,44,website,8963,Windows,15,7,0,False
7,San Jose,145.820747309,36,website,10661,Windows,29,5,0,False
9,San Diego,200.056038558,44,email,11638,OSX,20,4,1,True
9,Las Vegas,151.480936543,36,website,10673,Windows,26,6,0,False
7,San Jose,92.1711034699,50,email,10237,Windows,13,5,0,False
7,Tulsa,123.10322102,51,website,7626,Windows,10,7,1,False
7,Seattle,181.882472994,53,email,7579,Other,14,6,0,False
7,Austin,141.536061238,48,email,6261,Windows,7,5,1,False
10,Los Angeles,228.156086988,41,referral,10069,OSX,20,6,1,True
7,Phoenix,23.5266660619,45,conference,10411,Windows,18,6,1,False
8,Columbus,144.47243091,49,email,11776,Windows,22,6,1,True
8,Los Angeles,183.841780391,39,referral,12624,OSX,23,7,1,True
7,San Jose,121.267933395,45,email,6925,Windows,18,5,1,False
6,Atlanta,124.110486066,44,conference,4829,Windows,15,7,2,False
8,Boston,122.378451902,50,website,12154,Windows,24,6,1,True
6,Phoenix,156.374037135,40,website,10658,Other,23,5,0,True
7,Seattle,154.155266151,46,website,6712,Windows,13,7,0,False
5,Seattle,151.664432603,41,email,10792,Windows,20,6,0,False
5,Columbus,136.233195213,36,referral,9006,Windows,25,7,0,True
8,San Jose,143.92478462,39,email,10257,OSX,26,5,2,False
8,Tulsa,210.493039833,43,referral,9484,OSX,21,6,1,True
6,Columbus,137.316858165,42,email,6318,Windows,18,6,1,False
7,Denver,123.23440553,40,website,9817,Windows,22,7,0,False
7,Las Vegas,153.878465716,32,referral,10689,Windows,24,7,0,False
9,Boston,118.151987152,39,email,8451,Windows,37,8,3,True
6,Austin,96.9648373086,42,conference,7779,Other,14,5,0,False
7,Albany,101.701354902,48,conference,6628,Other,17,3,2,False
4,Las Vegas,200.13694801,41,website,12328,Windows,16,7,0,False
10,Denver,120.620009646,39,conference,8741,OSX,20,5,2,False
12,New York,68.4370027387,38,conference,10031,Windows,28,5,2,True
9,Denver,222.117943345,42,referral,10307,OSX,24,5,0,True
7,San Diego,142.128009212,50,conference,8357,Windows,14,8,0,False
5,Tulsa,225.966564637,52,referral,10607,OSX,19,5,3,False
4,Kansas City,134.313939155,51,conference,8897,OSX,18,6,1,False
7,Seattle,133.581271712,41,referral,10531,OSX,36,4,0,True
11,Las Vegas,143.936092421,45,email,11713,OSX,27,7,2,False
8,Atlanta,103.484576166,37,referral,6533,Windows,18,5,0,False
7,Las Vegas,175.772446987,45,website,14156,OSX,24,6,1,False
8,Kansas City,101.964020752,44,conference,11062,Windows,20,5,0,False
8,Boston,112.481252326,46,conference,9491,Windows,18,5,0,False
7,Phoenix,92.1274637075,43,website,8977,Windows,19,6,0,True
6,Denver,158.012141574,46,email,11766,Windows,13,6,0,False
5,San Diego,186.687959777,48,conference,6917,OSX,17,5,0,False
10,Los Angeles,103.878794687,42,website,9083,Windows,29,6,4,True
7,Memphis,95.2437757245,52,referral,8781,Windows,3,6,0,False
9,Freehold,174.408806826,42,email,14004,OSX,29,7,1,False
6,Phoenix,141.742078463,50,website,10389,Windows,21,7,3,True
5,Memphis,194.556125546,60,referral,8769,Windows,30,6,1,True
4,Austin,160.385021863,40,website,11443,Windows,22,5,0,False
8,San Jose,116.196414175,49,referral,12739,Windows,14,6,0,False
6,San Jose,158.168545987,40,conference,4485,Windows,24,6,1,True
8,New York,148.853739197,42,website,11351,OSX,25,7,4,True
8,Chicago,121.04432704,42,email,8662,Other,23,7,3,True
9,Las Vegas,118.580265685,47,referral,10506,Windows,32,7,4,True
6,Los Angeles,207.449274536,51,website,13101,OSX,17,5,2,True
9,Freehold,236.627512916,47,website,6871,OSX,19,6,0,True
9,Tulsa,119.623131551,42,email,10797,OSX,22,6,3,True
7,Freehold,167.852874241,43,conference,13641,Windows,21,6,0,False
12,Albany,65.2125023809,39,email,7274,Windows,28,6,3,True
5,San Diego,186.650384662,51,website,5361,Windows,19,6,1,False
8,Los Angeles,162.956056913,48,referral,10810,OSX,18,7,4,True
6,Memphis,165.081887007,45,conference,14384,Other,21,6,1,False
6,Las Vegas,109.859613858,50,website,9110,Windows,17,5,0,False
6,Tulsa,133.005395101,51,website,12152,Windows,26,6,2,True
7,Austin,133.679523354,51,referral,8537,Windows,21,7,1,False
6,Albany,162.381210025,45,email,10582,Windows,12,6,0,False
9,San Jose,142.452471973,41,conference,13393,OSX,28,6,0,False
6,New York,169.386937322,53,website,6789,Windows,18,5,0,False
6,Seattle,89.8531272938,42,email,11928,Windows,29,5,4,True
12,San Diego,85.4842359551,44,referral,6642,OSX,22,8,1,False
5,Kansas City,171.546535428,37,website,12335,Windows,24,5,0,False
7,Denver,60.6307657079,45,conference,10399,Windows,16,6,0,False
9,Tulsa,179.641629637,42,website,15133,OSX,27,6,1,True
9,Albany,120.680611401,49,website,10972,Other,17,6,0,False
7,Las Vegas,131.471870296,45,referral,8216,Windows,23,4,0,False
5,Los Angeles,133.944940434,52,conference,6180,OSX,17,5,2,False
6,Tulsa,140.744063137,36,website,9094,Windows,21,7,0,True
5,Albany,92.9364739823,31,referral,13913,Other,21,5,0,True
8,Boston,76.8735594589,44,website,10064,Windows,18,5,0,False
8,Boston,114.142631237,45,website,12225,Windows,17,6,0,False
6,San Diego,150.513726532,24,referral,11597,Windows,19,7,2,True
5,New York,141.059915688,44,conference,6504,OSX,14,5,1,False
6,Columbus,141.829977195,47,email,6303,Windows,23,6,2,False
8,Memphis,74.9049456716,42,email,11837,Windows,17,6,0,True
7,Kansas City,184.150063857,51,referral,7611,Windows,23,7,2,True
8,Boston,122.443918775,32,referral,8398,Windows,28,5,1,False
9,Chicago,203.383787031,44,referral,11146,OSX,24,5,0,True
8,Memphis,133.958258355,48,website,11921,Windows,21,8,4,True
7,San Diego,147.710110047,49,email,8161,Windows,14,4,0,False
8,Tulsa,227.415462844,39,referral,9010,Other,21,5,2,True
5,Kansas City,196.615819603,57,conference,4574,OSX,10,5,2,False
10,Memphis,262.65655275,50,email,5580,OSX,16,7,0,True
8,Las Vegas,154.491546367,48,website,8187,Windows,25,6,1,True
7,Los Angeles,150.590278073,41,website,11449,Windows,23,5,1,False
8,Columbus,112.076928837,37,referral,8676,Windows,17,6,0,False
8,Atlanta,161.571920457,43,conference,11831,OSX,31,6,0,True
9,Denver,116.770078627,42,referral,8644,Windows,23,5,1,False
6,Phoenix,189.523526192,48,conference,7099,Other,24,6,0,False
6,Kansas City,163.7802881,48,conference,9326,Other,22,6,0,False
6,Chicago,169.94826341,39,website,10679,Windows,21,7,0,False
5,Columbus,160.427564466,55,referral,11307,Windows,28,7,3,True
5,Phoenix,150.655076511,51,conference,8220,OSX,20,7,1,False
10,Memphis,96.7664787428,38,website,7487,Windows,27,7,0,False
7,Freehold,163.37102466,38,referral,10669,OSX,28,6,0,True
6,Seattle,164.16409604,42,referral,13406,Windows,26,6,2,False
8,San Jose,179.016585297,44,website,10742,OSX,24,6,0,True
11,Freehold,98.3995839585,40,website,9795,Windows,27,5,2,False
8,Chicago,158.885650371,50,referral,7678,Windows,27,8,2,True
6,Kansas City,167.857861612,52,conference,6646,OSX,11,7,1,False
8,Chicago,119.143541729,42,email,9946,Windows,18,5,0,True
6,Boston,154.732022904,44,email,8740,Other,27,6,0,True
8,Columbus,161.259734299,48,referral,7955,OSX,19,4,3,True
9,San Diego,62.7748595525,44,email,11336,Windows,21,8,4,True
9,Kansas City,147.715114895,46,referral,5977,Other,25,5,4,True
8,Los Angeles,102.101808757,43,website,11599,Windows,30,5,3,True
8,Columbus,164.919570248,51,referral,9114,Windows,26,6,2,True
11,Kansas City,108.932528428,44,conference,12424,Windows,19,6,3,True
11,Seattle,194.107912831,45,conference,10876,OSX,31,5,0,True
5,Seattle,118.368734917,42,conference,8480,Windows,19,7,1,False
8,Tulsa,218.368656155,47,email,9687,Other,28,5,1,True
7,New York,147.834577488,45,conference,10936,Other,18,6,0,False
8,Boston,108.987731181,40,referral,7337,OSX,27,4,1,False
6,Phoenix,83.4030253047,55,email,7146,Windows,14,8,4,False
9,Austin,220.520289937,48,conference,8276,OSX,18,5,1,True
7,Columbus,167.483504149,41,referral,9945,OSX,25,7,0,True
6,Albany,123.540845104,47,website,9017,Windows,14,6,0,False
5,Freehold,194.238285793,49,email,6959,Windows,19,6,0,False
7,Memphis,213.881555332,52,conference,7128,OSX,9,5,0,False
5,Phoenix,203.235954318,42,email,13347,Windows,22,6,1,False
12,Los Angeles,256.975014057,46,email,10290,OSX,20,5,1,True
6,Chicago,167.851105026,46,referral,11042,Windows,34,7,2,True
10,Memphis,111.300101168,35,website,7183,Windows,21,6,0,False
7,Tulsa,139.320722684,46,referral,11060,OSX,30,6,2,False
7,Columbus,147.602659645,51,email,11078,OSX,26,6,1,True
9,Phoenix,104.793012095,36,referral,6568,Windows,29,5,0,False
6,Columbus,190.75288596,43,email,13689,OSX,18,6,0,False
6,Los Angeles,152.032386016,43,email,9271,Windows,16,5,0,False
